RowNumber,CustomerId,Surname,CreditScore,Geography,Gender,Age,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary,Exited
754,39367077,PEIOK,747,Spain,Male,46,8,140423.34,2,1,1,105578.69,0
755,71580593,ZWUBK,511,Germany,Male,25,0,202177.16,3,1,1,20220.66,1
756,60011985,XMILE,477,France,Female,18,6,47580.31,3,0,0,149678.4,0
757,84062621,PKKJJ,663,Spain,Female,46,3,217936.59,3,0,1,107244.02,0
758,42843745,JMWIS,681,Spain,Female,53,6,189387.34,2,1,1,42836.53,0
759,29350835,ZQXIJ,499,France,Male,68,9,180662.58,3,0,1,139338.86,0
760,79562616,LPXWR,803,France,Female,54,5,21701.14,3,0,0,142062.47,0
761,70084389,OLTRJ,385,France,Female,86,3,5410.17,3,0,1,50564.14,0
762,67597408,WFIBI,522,France,Male,70,3,148503.18,3,1,1,161334.06,0
763,20320855,VKUDV,769,Germany,Male,69,7,215783.49,1,0,0,96735.9,0
764,28130254,NLPAQ,371,France,Male,29,6,146110.37,2,1,1,44315.83,1
765,81766557,TARPG,555,Germany,Male,69,3,53308.72,3,1,0,134947.8,1
766,89945266,ZJMDB,476,Germany,Female,18,5,22629.97,1,1,1,123378.12,0
767,53558992,IZXPR,685,France,Male,24,5,174899.11,3,0,1,42377.2,0
768,61628164,FAHVM,794,Germany,Female,34,0,180442.57,3,0,1,175746.29,1
769,75377052,GRQRC,705,France,Male,60,1,43132.93,3,1,1,172361.52,0
770,97349431,PQYDU,789,France,Male,88,3,7047.58,3,1,0,168886.47,0
771,91251088,QWTCO,566,Spain,Female,34,5,102070.88,3,0,1,85853.29,0
772,45409403,RQEMU,445,France,Female,76,5,145679.68,1,1,0,166678.33,0
773,26045907,XJBNH,766,Spain,Female,20,0,176500.6,3,0,0,170511.11,0
774,72754884,UKIHJ,778,Germany,Male,46,7,202486.25,1,1,1,199342.65,1
775,58458273,MXNYX,513,Spain,Male,39,1,152634.36,3,0,1,191944.88,0
776,25734209,MELKC,497,Germany,Female,55,4,27720.15,2,0,1,82740.99,1
777,79800140,DJDNN,367,France,Female,71,3,170645.42,1,1,1,47658.81,0
778,46081386,SSMUE,643,Germany,Male,67,4,246044.16,3,1,1,65567.85,0
779,83658410,PVWCA,544,Germany,Female,86,4,226396.15,1,0,1,104008.43,0
780,67395058,QDIUI,500,France,Female,47,9,217917.23,3,1,1,163036.95,0
781,35827438,MEVUS,829,Germany,Male,40,7,75542.54,3,1,1,147366.97,1
782,26663288,OHWKO,714,France,Female,64,9,187697.04,1,1,1,159665.42,0
783,23081782,RDYKH,472,Spain,Male,38,6,212775.86,3,0,0,82186.01,0
784,69387253,YZDPW,749,France,Male,37,8,169581.55,3,1,1,56911.88,0
785,53669391,MFZXE,536,France,Male,40,0,62640.44,3,1,1,14584.64,0
786,78181511,RXNKB,802,Germany,Female,85,5,238458.49,3,1,0,128974.89,0
787,48660995,GZYCZ,801,Spain,Female,38,5,112704.85,3,1,1,161057.17,0
788,18234679,BKPCF,498,France,Female,38,1,32451.39,3,0,1,178936.69,0
789,33240984,OMQHT,453,Spain,Female,18,7,27444.47,1,1,0,100485.2,0
790,32383810,JMVKZ,592,Spain,Male,32,5,161879.75,2,0,1,186252.7,0
791,75438362,GQDQF,811,Germany,Male,34,9,109427.41,3,0,0,48458.29,0
792,58566364,FDGXF,580,France,Female,68,8,23620.97,1,1,1,107731.84,0
793,28727583,IKHIX,828,Germany,Female,80,9,185091.14,2,1,1,50615.87,0
794,79019569,SLOOI,555,France,Female,31,4,199831.29,1,0,1,45734.35,0
795,45156028,EWBWO,547,Spain,Female,76,6,181353.91,2,1,0,191143.75,0
796,30568697,NZZMV,745,France,Male,67,5,50565.22,2,1,0,165370.73,0
797,31900338,XJEFG,749,France,Female,51,4,172443.86,2,0,0,12241.98,0
798,51311634,BKDDX,686,Spain,Male,23,5,2680.7,1,1,0,61017.47,0
799,49902996,UESBI,842,Spain,Female,66,3,76278.03,2,1,1,48975.7,0
800,64481924,UMUBA,436,France,Female,23,2,99705.38,3,1,0,37955.49,0
801,15723601,JIPAT,491,Germany,Female,86,0,208811.74,3,0,1,142508.36,1
802,26618153,QFLOW,666,France,Male,24,0,97598.59,2,1,1,117699.19,0
803,99165628,BASUB,548,Spain,Female,68,5,2817.36,2,0,1,96247.57,1
804,12382357,YJFHR,395,Germany,Male,18,8,88086.6,3,0,1,46004.44,0
805,85012933,SQCLV,637,Spain,Male,30,7,124731.02,1,0,1,62747.43,1
806,23630084,HSWHP,364,Spain,Female,60,1,237251.2,1,1,0,77659.2,1
807,62576779,FOYJF,393,Germany,Male,44,8,235258.58,3,1,1,159241.71,0
808,90890201,FAOYI,750,Spain,Male,88,7,45218.51,1,0,1,197945.99,0
809,92537517,LOGUO,518,Spain,Male,20,8,46286.64,1,0,0,44955.64,0
810,98132129,SCCIF,659,Spain,Female,75,3,40845.36,2,1,1,74889.31,0
811,26099248,CTYLO,844,Spain,Male,34,8,197230.48,1,1,0,63238.29,0
812,24677069,DSPHJ,393,Spain,Male,62,1,1505.51,3,0,1,18372.8,0
813,85589337,OAHPD,447,Spain,Female,75,0,31794.3,1,1,0,51651.58,1
814,22433196,HFQLK,610,Spain,Female,73,8,134489.91,2,0,1,181306.65,0
815,49010202,GMFMG,458,Spain,Male,71,9,61890.52,3,0,1,170143.05,0
816,44626632,ZDLSF,632,Spain,Male,46,7,23089.11,3,1,0,41843.49,0
817,87998328,AJVBZ,721,France,Male,71,6,89969.5,3,1,1,79570.97,0
818,63237806,SMENB,692,France,Male,44,7,68551.9,2,1,1,69052.58,0
819,22457080,JHGSN,453,Spain,Female,62,0,127776.08,3,0,0,38070.75,0
820,11222869,IFDQY,605,France,Female,48,8,244808.4,2,1,0,128219.56,0
821,92716910,WGGRE,728,Germany,Male,53,9,31076.16,2,1,1,115886.57,0
822,60066487,ODKOO,555,France,Female,78,8,93181.68,1,0,0,91128.35,0
823,13125354,HRAHO,684,Spain,Male,54,8,232996.25,3,0,1,172544.68,0
824,72802750,WUIIV,392,Spain,Female,84,5,219218.26,1,1,0,127745.15,0
825,19818159,QCTHC,702,France,Female,53,3,98567.76,1,1,0,59262.0,0
826,21145552,BTAHY,594,Spain,Male,22,1,174738.32,2,0,0,81003.9,0
827,25152994,XHXRC,636,Germany,Male,63,3,21964.25,1,0,1,38529.78,0
828,85191987,MPJLH,704,Germany,Male,69,6,178135.26,1,1,1,122360.92,0
829,32937902,PXYQV,622,Spain,Male,66,0,243214.43,1,1,1,121459.53,0
830,86415031,MSSVI,825,Germany,Female,23,8,134372.04,3,0,0,175334.9,0
831,77744469,ZOSOD,432,Germany,Female,27,2,124622.56,1,1,1,172605.17,1
832,84588685,LRTVT,459,France,Male,40,3,46829.65,2,0,1,169018.99,0
833,52758171,UQOLJ,787,Germany,Female,34,4,158447.05,3,0,0,114300.94,0
834,10067661,ORQSU,539,France,Female,61,2,147609.32,2,1,0,133883.76,0
835,17585153,IFRTU,820,Spain,Male,58,3,162983.26,3,1,1,157352.97,0
836,33335437,XADRE,637,France,Male,32,4,6520.82,3,0,1,27420.12,0
837,20466615,ZNPAY,773,Spain,Female,61,0,137180.87,3,0,1,67113.6,0
838,44861938,AQTXT,746,Spain,Male,75,8,148733.71,2,0,1,42127.09,0
839,96787694,XCLNA,600,Spain,Male,67,9,51882.53,1,1,1,107178.86,0
840,12966422,NYSQJ,561,Spain,Female,69,9,52083.21,3,0,0,169156.91,0
841,60154221,OXJVQ,640,Spain,Female,87,3,69054.54,2,0,1,53835.27,0
842,13708654,CNTQU,482,France,Male,85,8,177930.4,3,0,1,148871.67,1
843,67647084,DJHVE,550,Spain,Female,80,3,151566.52,1,1,1,87106.56,0
844,52573305,XKBBE,634,Germany,Male,75,0,211440.66,3,0,0,181584.23,1
845,54653349,UGCAB,675,Germany,Male,40,4,73914.64,2,1,0,129090.01,0
846,15872354,MVQHM,758,Spain,Female,61,8,228017.01,3,1,1,195545.07,0
847,57756479,MYJGV,444,Germany,Female,61,2,185926.54,2,0,1,56677.26,0
848,92649048,WPEQW,627,France,Male,69,4,98752.92,1,0,1,185552.09,1
849,90123510,IDNNH,799,France,Male,84,2,23815.52,1,0,1,77840.6,0
850,19810404,DVTST,778,Spain,Male,45,2,64245.92,3,1,0,128173.82,0
851,96205129,AKELI,674,Spain,Female,84,0,239192.05,1,0,1,43156.56,0
852,16292518,DJIPG,568,Spain,Male,35,1,77590.84,2,1,1,154359.17,1
853,51142200,BRQNZ,438,Germany,Female,44,1,82475.24,3,1,1,195867.58,0
854,74413145,PODVU,421,Germany,Male,68,8,47397.23,2,1,0,159610.96,0
855,27547389,YTUNY,596,France,Female,77,6,201712.65,3,1,0,127001.38,1
856,72132760,XRIYM,478,Germany,Male,91,7,68911.06,2,1,0,95160.66,0
857,76689168,SVIHL,561,France,Female,66,1,82564.56,3,1,0,75594.9,0
858,32419480,TUNEB,777,Germany,Male,32,8,103587.03,2,0,0,89612.4,0
859,58766345,LNWIQ,692,France,Male,90,2,108432.07,2,0,1,72374.78,1
860,44021442,FLWFI,445,Spain,Male,85,9,102835.2,3,1,0,168214.87,0
861,56523537,XRAVJ,424,Germany,Male,32,1,125935.92,2,1,1,179691.11,1
862,35153646,RIAQS,772,France,Female,68,0,203628.22,1,0,1,190434.96,1
863,87620693,QXMBH,844,Germany,Female,65,8,204821.26,2,0,1,89488.84,0
864,18411883,CYRSC,403,Spain,Female,89,7,199578.28,3,0,0,113781.65,0
865,21082322,TLOPR,693,France,Female,18,3,25281.21,1,0,0,119610.13,1
866,26203305,FQVMW,808,Germany,Female,24,6,199919.7,1,1,0,133706.75,0
867,20848680,EGVLU,762,Germany,Male,70,2,30062.94,2,0,1,10466.7,0
868,93031557,WEIBE,403,Spain,Female,48,2,31180.94,2,1,1,170111.04,0
869,99838873,BJFBS,567,Spain,Female,35,3,236965.69,2,1,0,60946.72,0
870,69292991,EAZAO,365,France,Female,29,1,204849.46,1,0,0,99711.17,0
871,45555041,FGGOU,448,Germany,Female,65,9,138102.62,1,0,0,169897.97,0
872,63028791,XOCNP,369,Germany,Male,47,3,218742.55,1,1,1,199402.67,0
873,86301164,DDUKY,395,Spain,Male,24,9,247341.16,3,1,1,161027.87,0
874,86658629,RRRBB,800,Spain,Male,20,2,152660.52,3,1,0,14718.32,0
875,61646180,CDTAU,542,France,Male,80,7,153224.61,2,1,1,80063.29,0
876,89357216,NEFTK,732,Germany,Female,23,1,188606.76,3,0,1,56970.02,0
877,42359860,OHNLV,407,Germany,Female,32,8,58034.74,3,0,0,193185.03,0
878,44499221,BKTFL,786,France,Male,88,2,41781.22,2,0,1,60203.49,0
879,38272916,ETUOJ,460,France,Male,60,3,189895.19,2,0,1,189236.54,0
880,91861231,MOETT,478,Spain,Female,35,9,86226.2,1,0,1,188128.33,0
881,29032579,HPMOM,686,Spain,Female,39,9,33767.59,1,1,0,169487.96,0
882,40354781,ECKZX,543,France,Male,78,2,78719.43,2,1,1,28633.64,0
883,26514877,SGJOJ,762,France,Male,78,2,89659.22,2,0,1,10379.09,0
884,83545310,CWWYU,689,Germany,Male,70,7,241306.91,3,0,0,160837.79,1
885,86165878,EBCIS,675,France,Male,43,7,174489.93,3,1,0,170226.82,0
886,97554946,KMYMW,357,France,Female,57,5,132714.08,3,1,1,192814.52,0
887,88350878,JSDLO,378,Germany,Female,25,3,242218.28,2,0,1,51492.7,1
888,27810471,YOMFS,461,France,Female,38,0,225784.94,2,0,1,149297.83,0
889,50636644,IKJFS,784,Spain,Male,60,3,128000.21,1,1,0,108622.24,0
890,68534435,PVGGV,510,Spain,Female,38,7,226419.91,3,0,0,72411.62,0
891,88550238,KGUTY,480,Germany,Female,20,5,101076.16,1,0,1,125195.29,0
892,67975251,PAVEV,537,France,Male,48,1,57605.17,2,1,0,114157.88,0
893,13094235,SYZFW,512,Spain,Male,44,2,58169.54,3,1,0,65535.94,0
894,57870026,LUSMU,546,Spain,Male,44,6,165578.88,1,1,0,61007.87,0
895,32763342,KELXX,824,Spain,Male,90,3,125267.58,2,0,0,102450.24,0
896,29636869,DUMHA,713,Spain,Male,74,3,164737.71,1,1,0,100066.94,0
897,37132021,TMGTM,553,France,Male,50,4,171518.99,3,0,0,67390.01,0
898,43942384,MQFTQ,561,France,Female,61,7,5580.72,1,1,1,60108.92,1
899,72867959,HTJTL,458,France,Female,60,6,13509.9,1,0,1,191318.41,0
900,27807333,TUVEG,625,France,Female,48,8,133169.43,2,0,1,173850.4,0
901,63228466,AMDKR,422,Spain,Female,82,4,47758.87,3,1,0,165188.03,0
902,45912253,VQRBX,516,Germany,Female,34,0,158133.44,1,0,1,50713.92,1
903,26263882,JJWEY,609,Germany,Female,32,3,138046.43,2,0,1,45965.3,0
904,49138695,VPDBE,592,Spain,Male,51,5,146440.09,3,1,0,163772.51,0
905,43799193,XYYGO,624,Spain,Male,21,5,75613.84,2,0,1,45088.13,1
906,93721515,CWIVY,451,Germany,Male,89,8,159960.88,3,1,1,105671.83,0
907,85495044,EUZBG,824,Germany,Female,45,9,207373.16,2,0,1,52070.14,0
908,58014453,FGZWV,522,Spain,Female,90,4,249517.81,2,1,1,81833.26,1
909,92405138,SLVCN,520,Spain,Male,19,4,209611.1,2,1,0,172156.3,0
910,61569363,EQXAO,490,France,Male,34,5,139374.69,1,0,1,179369.49,0
911,42686304,BGTBL,746,France,Male,75,5,48357.4,1,1,0,199369.06,1
912,85149843,QJXQW,537,Germany,Male,91,2,170361.47,2,1,0,189341.81,0
913,94740096,BWMXX,790,Spain,Male,26,5,234413.45,3,0,1,137537.64,0
914,82456281,AAKVI,435,Germany,Female,48,7,52966.63,2,1,0,92027.94,0
915,86362381,CFMLY,825,France,Female,83,5,63998.91,1,1,0,20961.55,1
916,41699263,TFTRO,401,France,Female,79,4,37252.14,3,1,0,125551.56,0
917,90480036,PPSTA,460,Germany,Male,36,2,184180.41,1,1,0,50029.33,0
918,36216317,QBKVU,786,France,Female,91,0,101640.38,2,0,1,171525.89,0
919,63215075,PUAHP,714,Spain,Male,72,4,15673.91,1,1,1,114290.79,0
920,44970444,IOKDQ,691,Germany,Female,45,5,218737.5,1,1,0,149365.32,0
921,15752810,KMWOH,392,Spain,Male,67,5,139417.98,1,1,0,137964.06,0
922,10571650,IIEGG,560,Spain,Male,82,5,82773.57,2,0,0,75992.93,0
923,98362656,YQYQO,805,France,Female,20,2,85995.74,1,0,0,154226.35,0
924,82017911,SCAGT,849,Spain,Female,69,3,72562.81,2,1,1,170241.3,0
925,50435721,ICLZI,549,Germany,Female,27,2,113870.04,2,1,0,151384.78,1
926,84531076,YRBDX,647,Spain,Female,38,1,84260.42,1,0,1,157593.29,0
927,13757974,LHKXP,695,Spain,Female,54,7,136986.58,3,1,0,78402.95,0
928,85900553,MGMXF,589,Spain,Male,32,6,193379.31,1,1,0,189300.71,0
929,71119361,MVSZC,464,Spain,Female,91,7,168615.32,1,1,0,90668.7,0
930,52321932,EWGKI,375,Spain,Female,26,5,73614.22,1,1,1,180439.54,1
931,29931456,XQUQR,756,France,Male,61,6,132185.25,3,0,1,172983.78,0
932,69376958,YKFEA,648,Germany,Female,56,0,210031.54,3,0,1,33622.89,0
933,21643208,ATLCI,426,France,Male,22,9,17051.56,2,0,0,193591.41,0
934,53928336,ORKYU,761,Germany,Female,42,4,19574.32,3,0,1,199304.92,0
935,18112074,LEXPI,486,Germany,Female,73,3,139042.52,3,0,0,125167.84,0
936,28967438,YHDVI,369,Germany,Male,81,9,159778.78,1,1,0,158790.91,1
937,22138391,RXABV,789,Germany,Female,89,2,52853.25,2,0,1,187400.54,0
938,63050917,JDGMA,560,Germany,Female,69,1,186305.03,2,1,0,13804.63,0
939,34012790,TVKQV,589,Spain,Female,26,8,161565.84,3,0,1,186698.1,0
940,66004002,HNFVZ,388,France,Female,27,7,230822.32,3,1,0,129199.57,0
941,31982813,ISEZF,784,France,Male,27,9,42238.55,1,0,0,167406.72,0
942,65616606,NWJYG,617,Spain,Male,90,1,187843.57,3,0,0,112737.23,1
943,39967940,VKFSV,556,Germany,Female,79,5,20910.77,3,1,0,110803.75,0
944,87822269,XPXEX,828,France,Female,77,2,141323.1,2,1,0,180528.46,0
945,19742257,GNAPI,788,Spain,Male,36,2,137973.78,3,1,1,106419.68,0
946,62044151,MZHAR,811,Spain,Male,55,4,97096.26,1,0,0,99639.98,0
947,13609736,FWNUK,616,France,Female,23,6,211142.79,2,0,0,125555.87,0
948,85169697,DILFU,503,France,Male,32,6,1092.66,2,1,1,108528.3,0
949,28161634,WPDKY,391,Germany,Male,64,9,130044.85,3,0,1,94794.52,1
950,27163810,PHJLQ,760,Germany,Male,62,0,54288.39,1,1,0,44299.53,0
951,96755840,DZMQU,360,France,Male,22,6,185874.65,2,0,1,85506.09,0
952,22225855,LCNBF,643,Germany,Female,70,6,10766.86,1,1,0,63588.68,0
953,61424149,ZSDXZ,447,Spain,Male,83,5,207888.67,1,1,1,86088.3,1
954,82347195,TUVGE,776,Germany,Female,79,5,209523.06,3,0,1,122700.08,0
955,11135964,XNJUE,624,Germany,Female,40,1,208216.5,1,1,0,125681.83,0
956,73446855,IQUZE,797,Spain,Male,61,2,38142.13,2,0,1,55345.68,0
957,76318090,RZAYQ,739,Germany,Female,69,2,157601.63,3,0,0,26050.94,1
958,70203880,ZBOGA,779,Spain,Female,63,2,3591.84,2,0,0,151443.16,0
959,12155748,WZTWU,721,Germany,Male,36,1,211990.65,1,1,0,110428.43,0
960,70676365,XOODD,579,France,Male,64,8,180743.8,1,1,1,93999.26,0
961,88542651,TTNNZ,718,Germany,Male,69,5,132788.43,3,1,0,34623.14,0
962,41808285,HPPOT,775,France,Female,41,1,182647.86,3,0,1,88786.11,0
963,64256930,IYIQE,569,France,Female,34,2,23581.02,2,0,0,165453.33,1
964,44427604,NGKIO,414,France,Female,63,9,132163.96,2,1,1,120472.77,1
965,18910852,XBHRI,704,France,Female,81,5,72819.12,1,0,1,27285.35,0
966,82764242,HZFMU,581,France,Male,45,3,243154.87,3,0,1,73132.28,0
967,48428026,XVEKJ,677,Spain,Female,67,6,214279.49,1,0,1,196162.38,0
968,47617741,BLTYD,792,Spain,Male,81,5,183318.92,1,1,0,113456.42,1
969,16941245,ARXWD,401,Spain,Male,45,5,233436.91,2,1,0,64415.26,0
970,74770179,WOVHB,723,France,Male,73,2,86710.83,2,1,0,183554.5,0
971,25876696,SRCJC,780,Germany,Male,76,7,225219.97,2,0,0,73840.12,0
972,19451244,ZFGAA,725,Spain,Female,22,8,81309.56,3,0,1,148682.39,0
973,84926168,QTLFS,612,Germany,Male,71,5,183199.18,2,1,0,37971.9,0
974,27606951,SLQGB,616,Germany,Female,61,1,184104.23,3,1,1,39733.69,0
975,72056263,JNXWM,708,France,Male,59,0,4587.47,1,1,1,116649.66,1
976,17021862,SQVXO,666,France,Male,89,2,90264.92,3,0,0,55566.43,0
977,18351245,OKUPJ,673,France,Male,74,2,4858.17,2,1,0,19373.1,0
978,96448549,ZCCQE,758,Spain,Female,64,7,249273.0,3,1,0,186028.43,0
979,46640608,RFCUQ,745,France,Male,42,4,30549.19,3,1,0,20638.01,0
980,15345854,KJLRR,503,Spain,Male,61,0,135702.72,2,0,0,146313.2,0
981,21683982,DXCAL,707,Spain,Male,32,3,197639.06,2,1,1,73267.31,0
982,74365536,ZDVDI,715,Spain,Male,68,6,50315.9,1,0,0,187365.94,0
983,67821848,RFAYN,489,Spain,Female,70,4,121263.17,3,1,0,197349.95,0
984,59875088,AEMHR,776,France,Female,51,9,151857.19,1,0,0,73731.82,0
985,80790126,KMDFI,400,Spain,Male,25,5,40051.19,1,1,1,122310.3,0
986,48187510,BCRCH,466,France,Male,87,9,194638.86,3,1,0,156867.1,0
987,12609089,SBXSK,770,France,Female,38,3,74834.11,1,0,1,33447.78,1
988,62840397,SICBH,395,Spain,Female,24,1,52755.77,3,1,1,144797.84,0
989,27691444,FZVVW,658,France,Female,73,8,139572.19,1,1,1,182177.52,0
990,10953959,TXVUC,437,Germany,Male,66,1,102578.41,1,1,0,43915.48,0
991,54132455,CBFBO,557,France,Female,59,1,230071.49,3,1,1,169354.92,0
992,59818662,ECMYO,726,France,Male,40,1,220015.67,2,0,1,31964.66,0
993,20016389,CJHWF,618,Spain,Female,69,0,120837.67,3,0,1,117977.32,0
994,97255618,BWSAG,438,Spain,Female,70,2,89815.94,2,0,0,74479.1,0
995,21630982,SWQPS,730,France,Male,33,5,81379.5,3,0,1,99626.01,0
996,60676914,YEKCI,467,Spain,Female,54,6,66890.91,3,0,0,67120.12,1
997,36704425,TQQSI,403,Germany,Male,35,0,136136.96,2,0,1,59502.48,0
998,71298111,AWHAI,790,Germany,Female,37,4,201244.65,2,0,1,151196.45,0
999,55014515,PRNHP,465,Spain,Male,63,4,77689.15,3,0,0,52391.51,0
1000,64869006,OXWDQ,467,France,Female,19,0,47523.52,3,1,1,87598.48,0
1001,25586926,GFCYF,609,Germany,Female,80,3,118870.95,3,1,1,62165.85,1
1002,19496563,WEPPB,424,Germany,Male,20,9,17258.6,2,0,1,55340.67,0
1003,91143014,YIYPR,829,France,Male,63,0,175319.75,3,0,0,129148.26,0
1004,55745050,HLSKU,654,Spain,Male,66,0,129589.57,2,0,0,18631.44,0
1005,41556003,VWWBF,356,Germany,Male,18,6,124093.7,1,1,0,159890.76,0
1006,20321336,TWYFG,715,France,Female,39,6,75111.34,2,0,1,113784.47,1
1007,93667964,XEJZF,471,France,Female,31,2,226168.36,1,0,1,167403.11,0
1008,87859104,ULAHM,360,Germany,Female,62,6,22621.57,3,0,1,50473.04,1
1009,19803005,UYMDB,697,Spain,Female,23,2,217456.0,3,0,0,144787.15,1
1010,83205955,ENCVF,787,Germany,Female,82,1,94176.3,2,1,0,89910.93,0
1011,41738453,DBEQD,838,France,Female,38,9,220155.88,1,0,0,24592.76,0
1012,63509641,JDARJ,564,Germany,Male,21,3,182190.36,3,1,1,152970.51,0
1013,17583354,OGZPH,778,Spain,Female,20,9,26042.68,3,1,0,154815.57,0
1014,29908425,RHHMT,628,France,Female,47,2,207884.07,1,1,0,61474.2,0
1015,49367797,WETZV,847,Spain,Male,48,6,170544.21,3,0,1,184048.74,0
1016,47612325,NUFCM,377,Germany,Female,51,0,8075.48,3,1,0,155154.26,1
1017,32468492,FKAWL,584,Germany,Female,37,5,33425.67,2,0,1,68283.9,0
1018,82506526,FQHFM,716,Spain,Female,71,1,158907.01,3,0,1,55430.7,0
1019,26413486,HVVAG,662,Germany,Male,42,7,165650.13,1,0,0,93617.02,1
1020,21606243,FVMLO,375,Spain,Male,32,4,186662.86,3,0,0,65630.06,0
1021,93752812,CHXGD,758,Germany,Female,55,2,180061.35,2,0,1,51234.38,0
1022,20688727,PDQQN,403,Spain,Male,40,9,164879.99,3,0,0,85829.14,0
1023,53842483,FQQMM,378,Spain,Female,69,6,191559.73,1,0,1,14883.8,0
1024,19828366,NTBVN,816,France,Female,83,1,143771.43,3,0,0,86268.1,0
1025,78914332,OJRDR,702,France,Female,74,4,65197.85,1,1,0,52115.9,0
1026,46982407,YEGVU,513,Spain,Male,74,7,228094.15,2,0,1,60223.5,0
1027,85623580,KWYDE,619,Germany,Female,69,0,4553.51,3,1,1,25685.12,0
1028,55103150,BMVYZ,683,Germany,Female,52,0,91640.43,3,0,0,121897.02,0
1029,21618627,IYODH,384,Germany,Female,91,2,182217.57,2,1,0,99681.75,0
1030,25043403,AXGQT,635,Spain,Female,31,2,106789.01,1,1,1,152619.2,0
1031,15525633,KQAKH,697,Spain,Female,31,6,6208.6,1,0,0,197548.74,1
1032,62411802,GOWQM,622,Spain,Male,50,5,16495.23,3,1,0,32711.46,0
1033,79353566,NCZKG,800,Spain,Female,69,6,162159.34,1,0,0,61760.77,0
1034,30154994,TWRKN,557,France,Male,18,3,241216.15,1,1,1,139666.28,0
1035,37695858,YWWPW,587,Spain,Female,51,1,137965.91,3,0,0,55089.28,0
1036,22920739,DKHOV,763,Germany,Male,36,1,126689.45,1,1,0,15728.03,0
1037,59282339,CTXYB,849,France,Female,41,9,79581.3,1,1,0,30863.26,1
1038,17726890,OCBIX,442,Germany,Female,21,0,64172.67,3,0,1,92389.12,0
1039,32674714,XNPFV,522,Spain,Male,53,8,5246.25,3,1,1,91849.08,0
1040,18357956,CYALD,428,France,Male,75,6,68238.72,1,0,0,194737.89,0
1041,71413011,VVNMC,459,Spain,Female,49,9,112277.61,3,0,1,98530.51,1
1042,19451337,RJLQZ,566,France,Male,26,2,49487.45,1,1,1,138832.86,0
1043,99729573,ILYFL,784,Germany,Male,84,1,21837.0,1,1,0,103518.19,0
1044,46940933,EAVGR,707,Spain,Female,37,2,179431.97,1,1,0,61284.51,0
1045,84504214,QFUTX,455,Spain,Female,91,6,223655.07,1,0,1,30035.7,0
1046,38688729,DLIVW,396,France,Female,79,4,234193.02,3,0,0,173224.06,0
1047,52019117,BDMBI,530,France,Female,75,2,154499.68,3,0,0,39005.91,0
1048,34062169,JGKJI,413,Spain,Female,39,8,13193.65,2,0,0,28409.79,0
1049,70628583,EQYLK,595,France,Male,84,1,185215.66,3,1,0,50627.44,0
1050,35291709,NTOSD,593,Spain,Female,65,6,27523.83,2,0,1,10472.84,0
1051,40256337,ONGXK,771,France,Male,25,9,167437.03,1,0,1,23673.38,0
1052,86039128,EDENB,669,Germany,Female,90,5,194841.46,3,1,0,130687.39,0
1053,35836512,OKUCM,436,France,Female,32,5,181466.18,1,1,0,56274.05,0
1054,87782638,VEDYA,566,Germany,Male,49,6,237970.95,2,1,1,74317.3,1
1055,41549031,HVTNP,839,France,Female,70,5,184536.57,3,0,0,168706.95,0
1056,46346859,NRYQZ,356,France,Male,84,1,173302.44,3,1,0,156850.92,0
1057,21309411,UZBDF,627,Spain,Male,21,4,65435.79,3,1,0,103527.14,0
1058,63689327,KSERS,686,France,Male,47,2,231192.17,3,0,1,126465.57,0
1059,49302467,PEOEI,559,France,Female,30,8,44885.97,1,0,0,26304.14,0
1060,47944452,LYMOR,846,Germany,Female,38,7,226224.15,3,0,0,154702.99,0
1061,79790583,JMLWF,518,France,Female,58,9,78165.64,2,0,0,108076.38,1
1062,94776775,GCVTH,679,Spain,Female,36,1,32540.9,3,1,0,118480.33,0
1063,69220571,JWMSS,487,Germany,Female,65,0,206670.76,2,0,0,136450.12,0
1064,65684473,OMHUU,790,Spain,Female,80,3,623.86,2,1,1,105033.31,0
1065,37580296,LWAPK,740,Spain,Male,37,3,208022.08,1,1,0,109121.6,0
1066,86796917,WOWXF,845,Spain,Female,81,9,65577.96,3,0,1,104930.76,0
1067,73655986,MGQJN,730,Spain,Female,54,1,221180.32,2,0,1,104395.32,1
1068,85996188,QKWKY,655,Germany,Female,48,6,172869.8,3,0,0,152539.01,0
1069,55084109,VJGDS,579,France,Female,91,2,166545.83,1,0,0,91169.62,1
1070,92972373,JLBFI,824,Spain,Male,35,6,91329.89,1,1,0,10549.73,0
1071,29053322,GLQWK,657,Germany,Male,37,6,14850.74,3,0,0,126292.0,0
1072,67292182,IPAFM,510,Spain,Male,28,0,207518.27,2,0,0,191005.87,1
1073,93700525,XFJEA,350,France,Male,61,5,42725.95,1,1,0,58822.37,0
1074,83684580,ZTOWC,585,Germany,Male,81,3,93064.66,2,1,0,165076.73,1
1075,79111188,XVSAK,786,Germany,Female,51,7,150088.67,2,1,0,96543.14,1
1076,49816537,AQNCV,537,France,Male,82,7,120563.43,3,0,0,132166.59,1
1077,72671672,SMPBN,767,Germany,Male,72,2,49665.16,1,1,0,179266.01,0
1078,94380672,KADQE,353,France,Female,91,3,35154.09,3,1,1,156492.59,1
1079,90908854,KSUSQ,750,Germany,Female,18,0,30811.57,3,1,0,178068.94,0
